id,hash_mode,speed,accel,loops
215,GRUB 2,   24260 H/s,2,1024
216,Radmin2, 4917.6 MH/s,256,1024
217,SAP CODVN B (BCODE), 1096.2 MH/s,64,1024
218,SAP CODVN F/G (PASSCODE),  566.9 MH/s,32,1024
219,SAP CODVN H (PWDSALTEDHASH) iSSHA-1, 3466.3 kH/s,16,1024
220,Lotus Notes/Domino 5,  146.0 MH/s,32,256
221,Lotus Notes/Domino 6,47588.7 kH/s,32,256
222,Lotus Notes/Domino 8,  380.5 kH/s,64,1024
223,PeopleSoft, 4397.2 MH/s,256,512
224,7-Zip,    5716 H/s,4,1024
225,RAR3-hp,       0 H/s,32,16384
226,TrueCrypt 5.0+ PBKDF2-HMAC-RipeMD160 + AES,  690.3 kH/s,64,1024
227,TrueCrypt 5.0+ PBKDF2-HMAC-SHA512 + AES,  248.3 kH/s,16,1000
228,TrueCrypt 5.0+ PBKDF2-HMAC-Whirlpool + AES,   24909 H/s,8,1000
229,TrueCrypt 5.0+ PBKDF2-HMAC-RipeMD160 + AES + boot-mode, 1368.5 kH/s,64,1000
230,Android FDE <= 4.3,  471.8 kH/s,32,1024
231,eCryptfs,       0 H/s,8,1024
232,"MS Office <= 2003 MD5 + RC4, oldoffice$0, oldoffice$1",  140.1 MH/s,32,1024
233,"MS Office <= 2003 MD5 + RC4, collision-mode #1",  206.6 MH/s,32,1024
234,"MS Office <= 2003 SHA1 + RC4, oldoffice$3, oldoffice$4",  196.1 MH/s,32,1024
235,"MS Office <= 2003 SHA1 + RC4, collision-mode #1",  223.7 MH/s,32,1024
236,Office 2007,   77438 H/s,32,1024
237,Office 2010,   38988 H/s,32,1024
238,Office 2013,    5693 H/s,4,1024
239,PDF 1.1 - 1.3 (Acrobat 2 - 4),  213.4 MH/s,32,1024
240,PDF 1.1 - 1.3 (Acrobat 2 - 4) + collider-mode #1,  242.2 MH/s,32,1024
241,PDF 1.4 - 1.6 (Acrobat 5 - 8),10444.6 kH/s,256,70
242,PDF 1.7 Level 3 (Acrobat 9), 1688.1 MH/s,256,1024
243,PDF 1.7 Level 8 (Acrobat 10 - 11),   21411 H/s,8,64
244,Password Safe v2,  172.1 kH/s,16,1000
245,Password Safe v3,  764.1 kH/s,16,1024
246,Lastpass, 1518.3 kH/s,64,500
247,"1Password, agilekeychain", 1886.1 kH/s,64,1000
248,"1Password, cloudkeychain",    6015 H/s,2,1024
249,Bitcoin/Litecoin wallet.dat,       0 H/s,4,1024
