id,hash_mode,speed,accel,loops,thr,vec
184,"11860 - HMAC-Streebog-512 (key = $salt), big-endian",90731.5 kH/s (59.01ms),1,64,1024,1
185,11900 - PBKDF2-HMAC-MD5 (Iterations: 999),24250.4 kH/s (53.27ms),16,999,1024,1
186,12000 - PBKDF2-HMAC-SHA1 (Iterations: 999),9240.9 kH/s (47.48ms),16,499,1024,1
187,12001 - Atlassian (PBKDF2-HMAC-SHA1) (Iterations: 9999),923.3 kH/s (72.49ms),8,1024,1024,1
188,12100 - PBKDF2-HMAC-SHA512 (Iterations: 999),1431.6 kH/s (38.64ms),2,499,1024,1
189,12200 - eCryptfs (Iterations: 65536),45432 H/s (57.60ms),2,1024,1024,1
190,12300 - Oracle T: Type (Oracle 12+) (Iterations: 4095),347.9 kH/s (60.05ms),8,128,1024,1
191,"12400 - BSDi Crypt, Extended DES (Iterations: 2194)",7641.1 kH/s (69.05ms),32,512,1024,1
192,12500 - RAR3-hp (Iterations: 262144),145.6 kH/s (71.80ms),16,16384,128,1
193,12600 - ColdFusion 10+,5548.3 MH/s (61.76ms),4,1024,1024,1
194,"12700 - Blockchain, My Wallet (Iterations: 9)",216.5 MH/s (5.66ms),32,9,1024,1
195,12800 - MS-AzureSync PBKDF2-HMAC-SHA256 (Iterations: 99),38473.8 kH/s (63.98ms),32,99,1024,1
196,12900 - Android FDE (Samsung DEK) (Iterations: 4095),989.6 kH/s (84.36ms),4,1024,1024,1
197,13000 - RAR5 (Iterations: 32799),123.0 kH/s (82.54ms),4,1024,1024,1
198,"13100 - Kerberos 5, etype 23, TGS-REP",1448.5 MH/s (59.11ms),64,256,64,1
199,13200 - AxCrypt 1 (Iterations: 10467),487.0 kH/s (125.08ms),8,1024,1024,1
200,13300 - AxCrypt 1 in-memory SHA1,21206.6 MH/s (64.58ms),16,1024,1024,1
201,13400 - KeePass 1 (AES/Twofish) and KeePass 2 (AES) (Iterations: 24569),147.6 kH/s (94.58ms),16,256,1024,1
202,13500 - PeopleSoft PS_TOKEN,16116.1 MH/s (85.10ms),16,1024,1024,1
203,13600 - WinZip (Iterations: 999),9012.3 kH/s (72.95ms),8,999,1024,1
204,13711 - VeraCrypt RIPEMD160 + XTS 512 bit (Iterations: 655330),2771 H/s (45.60ms),32,62,1024,1
205,13712 - VeraCrypt RIPEMD160 + XTS 1024 bit (Iterations: 655330),1592 H/s (39.72ms),16,62,1024,1
